year,t,i_d,i_c,i_f
2025.0,0.0,-0.10180748657731271,0.05496551712278555,0.16114379135735818
2026.0,1.0,-0.06706074560377429,0.06205865197678567,0.1634273818529567
2027.0,2.0,-0.04472920791740691,0.06935849692085896,0.1577801563660373
2028.0,3.0,-0.03004411790279892,0.07641095188145876,0.15515936986365625
2029.0,4.0,-0.020766570922679993,0.0832763782040325,0.1496649629417885
2030.0,5.0,-0.014905373576449764,0.0892595742212273,0.14966609481863866
2031.0,6.0,-0.011490767813975896,0.0949331877848206,0.14649092118347684
2032.0,7.0,-0.009362715506330723,0.09958341864339709,0.14635082165716998
2033.0,8.0,-0.007952266504390371,0.103092405732661,0.1487958824444665
2034.0,9.0,-0.006954153516131065,0.10519568628216064,0.15283256682469198
2035.0,10.0,-0.006192622895802616,0.10741637630653857,0.15255646640557102
2036.0,11.0,-0.005562237983780098,0.10849825773654669,0.15440246914961128
2037.0,12.0,-0.00503071203825109,0.1078269127434983,0.1599904963232526
2038.0,13.0,-0.004562590198774098,0.10871167736674173,0.15880051486575464
2039.0,14.0,-0.004132497622180794,0.10729932413486608,0.1631302230345674
2040.0,15.0,-0.0037464515574011066,0.10597300835722924,0.16650181129577749
2041.0,16.0,-0.0033959128422843695,0.10440610299217493,0.16946868491465455
2042.0,17.0,-0.003087940134816699,0.10329819023680106,0.17107198702410953
2043.0,18.0,-0.0027928744792642224,0.10201216148617798,0.17260704966961826
2044.0,19.0,-0.0025339247880056637,0.10046505133700796,0.17455886312070773
2045.0,20.0,-0.002300321509576669,0.10062255806600769,0.17341408858416574
2046.0,21.0,-0.002058335918994115,0.10069343862990152,0.17247909447301019
2047.0,22.0,-0.0018305177948711106,0.09576229508429607,0.18025698436028678
2048.0,23.0,-0.001626931165066862,0.09699800674612986,0.1774514488844047
2049.0,24.0,-0.0014308333990310127,0.09685542810666307,0.17706145816382995
2050.0,25.0,-0.0012408631110666652,0.09328183983252722,0.1823129527175382
2051.0,26.0,-0.001065853282716948,0.09413880837613847,0.18041419792393854
2052.0,27.0,-0.0009066024983172352,0.09048018222654523,0.18594814038341448
2053.0,28.0,-0.0007728906679202435,0.09272522347098233,0.1820836765834197
2054.0,29.0,-0.0006453546411039033,0.09114998064344955,0.18409972895493654
2055.0,30.0,-0.0005276763877785749,0.09038181693079,0.18489603864321072
2056.0,31.0,-0.00041649743980820016,0.09048016405239162,0.1848377981149754
2057.0,32.0,-0.0003178257586448207,0.08684258182231415,0.1902590681446158
2058.0,33.0,-0.00023476180436772208,0.08978465764378642,0.1855070562550224
2059.0,34.0,-0.00014780389980398458,0.08850634949637928,0.18733010980844672
2060.0,35.0,-6.331441851168132e-5,0.08650483597382949,0.19036582162581042
2061.0,36.0,1.1320964739553694e-5,0.08545805668088836,0.1924642638089288
2062.0,37.0,7.554985660887684e-5,0.08514470457999965,0.19293275292266154
2063.0,38.0,0.00013287421125531308,0.08457488713829202,0.19359310477684452
2064.0,39.0,0.00019561456214493817,0.08796737073425483,0.18872143329715038
2065.0,40.0,0.00024036799237201297,0.08529122369241998,0.192421149064676
2066.0,41.0,0.0002848162357935196,0.08490368519771223,0.1932544375164269
2067.0,42.0,0.0003004252457357312,0.08705121693390683,0.1909538304340232
2068.0,43.0,0.00027041143047307117,0.08384053318393729,0.19580973007287317
2069.0,44.0,0.0002879679438278701,0.08503828413054018,0.19506077545579995
2070.0,45.0,0.0002852796837633407,0.08338655334615444,0.19696588456047656
2071.0,46.0,0.0003791086947036488,0.08306898123609724,0.19882358269470202
2072.0,47.0,0.00029689508362436637,0.08684824268268641,0.1930214097088116
2073.0,48.0,0.0005166022127381865,0.08283187668615494,0.19978132468761706
2074.0,49.0,0.0004720516505303888,0.08573898433833352,0.1951477836068518
2075.0,50.0,0.0003194328883518955,0.08493609560052458,0.1975545602563732
2076.0,51.0,0.00042372276183086724,0.07957367822863727,0.20552242729251957
2077.0,52.0,9.380924412295945e-5,0.08550322777926725,0.1970724068725013
2078.0,53.0,0.0003166070544793873,0.09596738917968257,0.18431832326278885
2079.0,54.0,0.00036395216784841487,0.08755940627495379,0.1948327423516578
2080.0,55.0,0.00022726297198602443,0.0835440436062034,0.20084549325792425
2081.0,56.0,6.331619577178615e-5,0.09002692833729738,0.1920442127747821
2082.0,57.0,0.0002545256721459477,0.08506534427785056,0.20025764216352437
2083.0,58.0,-0.0002968452734015787,0.08899324732998512,0.19487933122083084
2084.0,59.0,-0.0008830947074003318,0.08632668569486404,0.18258091505158464
2085.0,60.0,0.007576682614842123,0.08320505441299439,0.19203589993521536
2086.0,61.0,0.004228137581508614,0.0748657313919318,0.17278893614527988
2087.0,62.0,0.003943072769037483,0.08626783168399184,0.19532829132211424
2088.0,63.0,0.00381845086477014,0.08680928112007963,0.19470958248039377
2089.0,64.0,0.0037596710008638815,0.0878224311131992,0.19261782699032878
2090.0,65.0,0.003740641845006544,0.08274905544168941,0.20062175088609643
2091.0,66.0,0.0037094038102412717,0.080146402712118,0.2042768706548234
2092.0,67.0,0.003774528733345318,0.08772231882738572,0.19392442244844849
2093.0,68.0,0.003665449836603515,0.08594000115154342,0.19212166422365864
2094.0,69.0,0.0043207531438143295,0.08818227674869056,0.1903332578506529
2095.0,70.0,0.00410246913869577,0.08580822629513801,0.1933785038354813
2096.0,71.0,0.00956910309369953,0.08881398171694438,0.1905323183463737
2097.0,72.0,0.009634285852984249,0.07417724610510891,0.20880675788821523
2098.0,73.0,0.009638863776771625,0.08954719427008585,0.18744581354500392
2099.0,74.0,0.009630119741307524,0.08597126897182888,0.19392691892809605
2100.0,75.0,0.009641005367232242,0.08649203544093063,0.1945961964955104
2101.0,76.0,0.009631285814699247,0.07836531108881617,0.204211524387827
2102.0,77.0,0.009634395649132486,0.08812279766252923,0.19045801056802733
2103.0,78.0,0.009621579537769062,0.08493038246447746,0.19951067138721826
2104.0,79.0,0.00963782704401477,0.08522361789044083,0.19643788253567154
2105.0,80.0,0.009638253486137043,0.08163795984289163,0.20449159919340365
2106.0,81.0,0.009639964829380397,0.0811905361449352,0.2053319279393734
2107.0,82.0,0.009635058192454376,0.08304471145596791,0.20005928771850268
2108.0,83.0,0.009641297573881024,0.08449202015140969,0.19422211164712333
2109.0,84.0,0.009636657351788704,0.08657742205772373,0.19507222488795187
2110.0,85.0,0.00963611185984778,0.0853218901131293,0.19766940646494505
2111.0,86.0,0.00966033734551819,0.08364620345981646,0.1964294247125567
2112.0,87.0,0.009643512901859382,0.08154133903594954,0.19931361560526697
2113.0,88.0,0.009644898508740367,0.08725456454799767,0.19359048910561677
2114.0,89.0,0.009634192629690713,0.0804706177428635,0.2011240137059489
2115.0,90.0,0.009639511601513436,0.0842492888571543,0.19767749018258118
2116.0,91.0,0.009636778815925532,0.08329086780791714,0.19628766378557888
2117.0,92.0,0.009634531358565396,0.0822068565243002,0.19776749539654387
2118.0,93.0,0.009652541973620211,0.0853246427755721,0.19482755762375295
2119.0,94.0,0.009637188407313363,0.08383523953784826,0.19730230141249797
2120.0,95.0,0.009645222679404602,0.08428458607549749,0.1946025823678608
2121.0,96.0,0.009653265846365656,0.08506872735478085,0.19568521219966348
2122.0,97.0,0.009636686575697767,0.07821277827484568,0.2065143752172867
2123.0,98.0,0.009638086884727783,0.08418653024795043,0.1990617311630595
2124.0,99.0,0.009647588095885992,0.08666676610470815,0.19142005993185018
2125.0,100.0,0.009639244207732083,0.08085517335852868,0.1994057827918864
2126.0,101.0,0.009652362922518863,0.084224876444835,0.1941969201205228
2127.0,102.0,0.009638561999113041,0.08726813976553043,0.19285275218754278
2128.0,103.0,0.009641904639660467,0.08481649206290594,0.1992785586286961
2129.0,104.0,0.009642284723241107,0.0844396546487998,0.19574941836364262
2130.0,105.0,0.00963900692080839,0.08320897892251927,0.20041704717613537
2131.0,106.0,0.009646700877381646,0.07947624573559339,0.2104878185489993
2132.0,107.0,0.00963815307002585,0.08303964715471233,0.19772012194632096
2133.0,108.0,0.00964060577579902,0.08402272137820208,0.19901357645140255
2134.0,109.0,0.009639786027588205,0.0843410299261059,0.19970271718962052
2135.0,110.0,0.009638554676893571,0.08761121306667212,0.1951031108914975
2136.0,111.0,0.009637325000689496,0.07647622349749952,0.20831852837014206
2137.0,112.0,0.009637910350623115,0.08426979010255212,0.20515110359028832
2138.0,113.0,0.00964171971131601,0.08234402103222219,0.19826040860675137
2139.0,114.0,0.009638122897934106,0.0836018868657742,0.203733866519352
2140.0,115.0,0.009641340977034256,0.09162895274257642,0.19513676644438452
2141.0,116.0,0.009637102680908541,0.08515434792291887,0.1942060457936454
2142.0,117.0,0.009640143304942046,0.08514261095952055,0.19582633725244164
2143.0,118.0,0.009637695143843904,0.0744055903671237,0.21513182849568144
2144.0,119.0,0.009638174207573746,0.08485982439483285,0.19928697180847607
2145.0,120.0,0.009638124983469389,0.08275009839501618,0.20049882996414392
2146.0,121.0,0.00963790810627552,0.09333209233415937,0.18286448902470226
2147.0,122.0,0.00963786819325259,0.0820394112255761,0.2051117076275507
