year,t,i_d,i_c,i_f,P_emissions,Temp,kd,kc,kf,ks,E_agg,Y_agg,C_agg,SCC
2026.0,0.0,-0.04780666443664241,0.075982789996392,0.271136561752792,53.201884816191395,1.38,0.790835,0.15254,4.35,0.0,40.63263165262384,110.98000000000002,85.33859989453138,175.2810352690311
2027.0,1.0,-0.006654882656036867,0.05771677543941404,0.280455021185916,40.292603288669056,1.4119211308897148,0.6932848140633576,0.218928023996392,4.347521561752792,0.04780666502966899,39.858398709962486,113.13639097607602,87.55036043200137,179.62964858483772
2028.0,2.0,-0.004403559134657395,0.06212147972572551,0.2713964381116695,37.689168958468905,1.4360966928629162,0.6430223166027356,0.262874226726433,4.354517476704458,0.05158814854654203,39.94591754710063,115.54627843123116,89.70445490339175,184.05132830369172
2029.0,3.0,-0.0030394772791724938,0.06581287472211134,0.2636221410136632,35.43126630423473,1.4587101942379976,0.5981726537537662,0.30846091759106586,4.352014765531417,0.05300450326848347,40.10120073628921,117.95447943910106,91.81555523040545,188.55357217905055
2030.0,4.0,-0.0021096813568708965,0.06921040305177482,0.2565993457717668,33.40106824248405,1.4799689540205383,0.5575081165534818,0.35487160059669914,4.341895177793155,0.0530907781746969,40.29089183785367,120.3675560057529,93.89799823739575,193.14013500669128
2031.0,5.0,-0.0013998984308622128,0.0724050593616542,0.25020834080047727,31.545216154989134,1.5000095949660288,0.5203311746653968,0.4017605799709416,4.325389316881733,0.0523556344757562,40.51132610779073,122.79303523870107,95.95846060110911,197.81461511688525
2032.0,6.0,-0.0008654271370927326,0.07529098480551594,0.24449099616551265,29.835406126974444,1.5189367246590224,0.48620244534808116,0.4488948988524236,4.30353066965035,0.05106427673721324,40.766606450987894,125.2389033589783,98.00911476855234,202.58050743337634
2033.0,7.0,-0.00048559675357189074,0.07628989184613456,0.24106352875379244,28.25048216801204,1.536837968335207,0.45475488439859413,0.49595039452012213,4.277329586694855,0.04941409660747737,41.05585088192795,127.7119398042387,100.05251408890597,207.4412179774017
2034.0,8.0,0.005997642789162888,0.06777623237131948,0.24304712219555705,26.772896001597204,1.5537882576360142,0.42566520541635067,0.541045006550941,4.249349084445542,0.04756287888240957,41.33630650941622,130.218329191677,102.10979595516031,212.40009212468573
2035.0,9.0,0.0066923679521523,0.0686593424051139,0.24036094933830862,25.795794314130678,1.5698519952369725,0.4048885067848251,0.5747895080102063,4.225112149229474,0.044571173800706014,41.78955923057485,132.8445303870664,104.19928448370409,217.4604296990662
2036.0,10.0,0.007363541217419802,0.06770075492346993,0.23981325468151296,24.919013227419367,1.5853294718254507,0.38611338766021186,0.6072945903614784,4.199713544381249,0.04176764696864161,42.30556378418673,135.53130397217453,106.31257274979491,222.62391438844307
2037.0,11.0,0.008046281366523907,0.0675460161856701,0.23867890940554154,24.137250043143435,1.6002808797619024,0.36919039679380433,0.6367965155512113,4.1753648171211815,0.039140461974314054,42.84394591976239,138.28426163104598,108.45806557445547,227.89296963238277
2038.0,12.0,0.008712498732433339,0.06660382336090241,0.23855922920946887,23.447822994857283,1.6147632297877885,0.354014602201998,0.6642880309087102,4.151413279529801,0.0366785269161297,43.434639778485916,141.10886691799146,110.6411444354034,233.26991320164117
2039.0,13.0,0.009364047996112965,0.0655797949203991,0.23871563614657088,22.846374467895508,1.6288319235847029,0.34045958245592567,0.6891081371254548,4.128848613456846,0.034371447573105146,44.06269804624331,144.00980955518875,112.86808137823273,238.75695217428398
2040.0,14.0,-0.00042808099745999606,0.08686665655799129,0.22480675027235808,22.32892261974952,1.6425397482654402,0.32840872271556093,0.7113430302206628,4.107859671816981,0.03220948352075683,44.73088347336105,146.9913158391106,115.14253043125112,244.35618816956324
2041.0,15.0,0.010195209274590281,0.06448651517690125,0.23733727872515983,21.14975499569549,1.65593710183729,0.30732373305929217,0.7534662101777745,4.0742820487320515,0.03139488328002858,45.17793143203506,149.86838721973535,117.4550431245749,250.0696189798319
2042.0,16.0,0.010309940240897124,0.06479645256233785,0.23719479149802225,20.79379945683442,1.668626954834707,0.298188279524453,0.7705597007344938,4.055346986591966,0.029420145121714786,45.92803589127114,153.00827890769904,119.82135491038993,255.90304475282235
2043.0,17.0,0.010364220005276226,0.06491789881539427,0.23738516975559332,20.4748075432881,1.6811032345088075,0.289742176983262,0.7868879481206319,4.037460452633353,0.027569617993558927,46.721557623538985,156.23167618974946,122.24332207535717,261.8556611941754
2044.0,18.0,0.010349764457117508,0.06538423849373134,0.2373372559871853,20.187037273700863,1.6933881190347804,0.28188161405629103,0.8023105949992384,4.020889359918309,0.025835489021764073,47.54942824184961,159.54003091366963,124.7264026988798,267.9293938740233
2045.0,19.0,0.010364601682282239,0.06537685436665353,0.23785765972020853,19.924243818604044,1.7055003413990009,0.2745010249892678,0.8172294970675177,4.005312675166633,0.024210436762295114,48.41611534243474,162.93416519026783,127.26134050592711,274.1261490019514
2046.0,20.0,0.010413296528208474,0.06568560356692602,0.23812932687341454,19.687642274866782,1.7174548876901632,0.26759951219972516,0.8312026160686243,3.9912361676188604,0.022687600289946753,49.31200473704352,166.41755516302686,129.85282180477256,280.44782986319746
2047.0,21.0,0.010449858721796998,0.06606041490244295,0.23836494620701265,19.478854435536707,1.7292674730550832,0.26118079941057093,0.8446055750848339,3.9783167395490486,0.021260550231709103,50.250425344974666,169.99365564520912,132.51267173800258,286.89628503919084
2048.0,22.0,-0.0023472961607801913,0.09613085893749151,0.21834877541226227,19.295997692814932,1.7409547857164052,0.25520238584944305,0.8575402993144409,3.9664455628384263,0.019923261622134602,51.233066344199486,173.66424700245275,135.22518553467225,293.47330175472683
