year,t,i_d,i_c,i_f,P_emissions,Temp,kd,kc,kf,ks,E_agg,Y_agg,C_agg,SCC,
2057,31,0.01655334,0.026894188,0.183567419,28.90899006,1.975634107,0.321124414,0.324763316,2.972160765,0.007575899,49.14717087,194.3712528,160.4748535,204.8329281,28.92630871
2058,32,0.016531195,0.027200462,0.183690058,28.96042645,1.992979501,0.316626926,0.329002739,2.957441731,0.007099375,49.99454365,198.3900727,163.6533325,210.2770418,28.98255101
2059,33,0.016728064,0.027669722,0.182833262,29.02991347,2.010355757,0.312380401,0.333260117,2.943699506,0.006652824,50.88087523,202.511984,167.007754,215.8509719,29.06483168
2060,34,0.017038081,0.028086522,0.182530763,29.1362603,2.027773705,0.308565119,0.337670433,2.93001829,0.006234361,51.83499601,206.7348423,170.3480035,221.5567811,29.18520228
2061,35,0.017624865,0.028572478,0.182125022,29.28856814,2.045255462,0.305254764,0.342181323,2.91687982,0.00584222,52.86695133,211.0709504,173.7402236,227.39659,29.36449394
2062,36,0.018816142,0.029381184,0.180302598,29.51084306,2.062828602,0.302662445,0.346844766,2.904161524,0.005474744,54.00920108,215.5305332,177.313916,233.372174,29.6370423
2063,37,0.020760156,0.03040545,0.178133538,29.85688473,2.080535108,0.301272074,0.351920537,2.890598416,0.005130383,55.34023512,220.1180154,180.8881785,239.4849702,28.99871738
2064,38,-0.009907854,0.033590417,0.186308759,30.39265529,2.098449239,0.301652122,0.357563197,2.875935809,0.004807682,56.95054085,224.8524418,186.0446664,245.736156,28.42714289
2065,39,0.019259326,0.03135791,0.175637635,25.94463568,2.116684832,0.272765062,0.365507317,2.869278759,0.014464127,55.01208014,228.6320201,188.1245665,252.1261413,27.88398526
2066,40,0.017783837,0.0313521,0.177750294,26.43069571,2.132251614,0.273508335,0.371184533,2.853687424,0.013554334,56.67422744,233.601134,192.0470366,258.684429,27.33709759
2067,41,0.017240045,0.031945428,0.177300179,26.79505488,2.148110031,0.272933212,0.376540971,2.840869081,0.012701766,58.18973021,238.6459911,196.2124088,265.3934715,26.74981414
2068,42,0.017160663,0.032488872,0.177807044,27.12244639,2.164187064,0.271917965,0.382091748,2.828413194,0.011902825,59.69472346,243.7807684,200.1868385,272.2559536,27.13761712
2069,43,0.018004159,0.033663685,0.175862331,27.45623804,2.180460532,0.270893199,0.387784553,2.817135281,0.011154137,61.24395575,249.0429656,204.4346233,279.2744306,26.87168321
2070,44,-0.006768957,0.036396061,0.184584413,27.88365056,2.196934275,0.270662576,0.394134236,2.804821431,0.010452542,62.9838796,254.4387917,209.8494129,286.4505229,26.59853108
2071,45,0.016115731,0.034709661,0.174266533,25.1010262,2.213664465,0.246859775,0.402378284,2.800835134,0.016693265,61.39456189,258.9502663,212.7680358,293.7856294,26.30155829
2072,46,0.014725189,0.03490939,0.175302886,25.42929423,2.228725081,0.246397662,0.408784252,2.788086362,0.015643258,63.11545454,264.5789316,217.3660102,301.309454,25.96411536
2073,47,0.013778678,0.035230228,0.176072156,25.63758244,2.243982657,0.244746808,0.414999918,2.776996324,0.014659297,64.68554386,270.2822555,221.9517925,309.0036142,25.55772974
2074,48,0.013112335,0.035556552,0.177038614,25.76902337,2.259365207,0.242358165,0.421135881,2.767231765,0.013737228,66.17048835,276.0866766,226.5065185,316.8717383,25.71898032
2075,49,0.012656841,0.035911456,0.177983873,25.85172244,2.274826621,0.239520214,0.427200943,2.758885138,0.012873156,67.60990555,282.0148139,231.1045364,324.9170464,25.82635069
2076,50,0.012494246,0.036886233,0.176535524,25.90727912,2.290337654,0.236446278,0.433222663,2.751852868,0.012063434,69.03629856,288.0813459,236.1476195,333.1423469,25.90760112
2077,51,0.012481462,0.037700506,0.175855294,25.9661461,2.305882022,0.233411886,0.439718556,2.743971826,0.011304644,70.52821562,294.2689521,241.114356,341.55018,25.98715866
2078,52,0.012719957,0.038715337,0.174770798,26.04383456,2.321461709,0.230548422,0.446528407,2.735961102,0.010593582,72.1011016,300.6007932,246.1865582,350.1436871,26.09138541
2079,53,0.013314294,0.039953891,0.173374768,26.16681107,2.33708801,0.22806905,0.453800372,2.727475741,0.009927246,73.8076908,307.0883324,251.3202877,358.9254,25.71439263
2080,54,-0.004326108,0.042618585,0.1789823,26.37285619,2.352788097,0.226264054,0.461692565,2.718271541,0.009302822,75.72059331,313.7497109,257.6365227,367.8975005,25.36947953
2081,55,0.012625376,0.041334435,0.171141559,24.02231524,2.368611811,0.207694721,0.47133659,2.714489622,0.013307297,74.60167765,319.5825963,261.6177771,377.0615279,25.04250506
2082,56,0.012019361,0.04183873,0.17149941,24.24158061,2.3830252,0.206493111,0.479399079,2.704099751,0.012470268,76.66339671,326.5639308,267.1970251,386.4488469,
2083,57,0.011838698,0.042648018,0.171104936,24.40896221,2.397570148,0.204829568,0.487432204,2.694634452,0.011685888,78.68409095,333.6759153,272.881662,396.0395033,
2084,58,0.012107165,0.043845203,0.170139441,24.57207724,2.412215525,0.203105597,0.495689236,2.685381994,0.010950846,80.75975891,340.9412846,278.6154856,405.8366572,
2085,59,-0.002302648,0.046695828,0.174417823,24.78177565,2.426958772,0.201720825,0.504477346,2.675831276,0.010262038,82.99961798,348.3866744,285.5827102,415.8429598,
2086,60,0.011800442,0.045817154,0.167324291,22.98461072,2.441827837,0.186722834,0.515119253,2.670570292,0.012387835,82.47640494,355.0859716,290.1947582,426.0602751,
2087,61,-0.002192727,0.047693846,0.173069935,23.24326858,2.455618604,0.186038577,0.524460211,2.659432027,0.01160864,84.96467992,362.8951778,297.2626022,436.5189514,
2088,62,0.010028505,0.045980355,0.168151094,21.62499409,2.469564565,0.172136797,0.534828283,2.65396068,0.013554439,84.55850132,369.8936993,302.2048329,447.1990294,
2089,63,0.009197407,0.045965457,0.169226986,21.75936475,2.482539561,0.170762714,0.543214908,2.644523839,0.012701865,86.87421074,378.0121966,308.6846032,458.1335537,
2090,64,0.008621563,0.046182041,0.169847187,21.80947826,2.49559518,0.168734324,0.551122668,2.63658119,0.011902918,89.05176218,386.2667306,315.253201,469.3022735,
2091,65,0.008209041,0.046531046,0.170194834,21.80641631,2.508680867,0.166313681,0.558769209,2.629645953,0.011154224,91.16187072,394.6812691,321.9355864,480.7096114,
2092,66,0.007924644,0.047070907,0.170245393,21.77054762,2.521764717,0.163669018,0.566278837,2.623420778,0.010452623,93.2506521,403.2718846,328.7471676,492.3596111,
2093,67,0.007739633,0.04763255,0.170454376,21.71806882,2.534827045,0.160928506,0.573818121,2.617605027,0.009795153,95.36228948,412.0516315,335.6124637,504.2560799,
2094,68,0.007697491,0.048770622,0.169155029,21.66161817,2.547857887,0.158187391,0.581403541,2.612312323,0.009179038,97.52304707,421.039337,342.9142622,516.4026138,
2095,69,0.007772561,0.049871774,0.168497078,21.61957754,2.560854857,0.155574528,0.589512792,2.606199613,0.008601677,99.8134828,430.2231348,350.1235489,528.8023481,
2096,70,-0.001605061,0.052350773,0.170040072,21.60696643,2.573826604,0.153187431,0.598085145,2.599872994,0.008060631,102.262204,439.6358622,358.46549,541.4588818,
2097,71,0.00747639,0.051611455,0.166027055,20.07002984,2.586790784,0.141941276,0.608234066,2.595259885,0.009727556,102.3371181,448.3862254,364.9360773,554.3747914,
2098,72,0.007302419,0.052265898,0.166103428,20.09943283,2.598832802,0.140112011,0.617208129,2.587423813,0.009115693,105.0447259,458.2427342,372.6592432,567.5817833,
2099,73,-0.000788828,0.053871367,0.168341193,20.12127728,2.610892461,0.138237586,0.626225699,2.580115033,0.008542316,107.811107,468.3237408,381.3984264,581.0605588,
2100,74,0.00675943,0.053177395,0.16528326,18.86957705,2.622965228,0.128751743,0.636073159,2.575183465,0.009504744,108.3223461,477.80729,388.4038522,594.8142593,
2101,75,0.006521623,0.053386623,0.1658602,18.89115334,2.634286974,0.127077107,0.644795782,2.567879293,0.008906896,111.2044781,488.3528739,396.6626558,608.8734117,
2102,76,-0.000642523,0.055467152,0.167449968,18.89453997,2.645621666,0.125290814,0.653204543,2.561506919,0.008346652,114.0895852,499.1333281,405.7590727,623.2196847,
2103,77,0.005917253,0.053766509,0.165351684,17.74642486,2.65695839,0.116766079,0.662875112,2.556891619,0.009203685,114.8672363,509.3566427,413.6828583,637.8565504,
2104,78,0.005626996,0.053604468,0.16588699,17.73424805,2.667606245,0.11506136,0.670585718,2.550721688,0.008624774,117.7941328,520.6094688,422.6832781,652.8142749,
2105,79,0.005442476,0.05493387,0.165521813,17.69488992,2.678246794,0.113198837,0.677725375,2.545379772,0.008082275,120.6717444,532.0931658,431.5588667,668.0758158,
2106,80,0.005361365,0.055893547,0.165286453,17.64405463,2.688863728,0.11128291,0.685577586,2.540033589,0.0075739,123.6790997,543.850574,440.7096403,683.6456439,
2107,81,-0.000164807,0.057492747,0.165689884,17.59721435,2.699450161,0.109410168,0.693791432,2.534796318,0.007097502,126.8173223,555.8913511,451.0757872,699.5270186,
2108,82,-5.43E-05,0.057886665,0.164950919,16.60021061,2.710008489,0.102363341,0.702880419,2.530217004,0.007656054,128.1063764,567.4712735,460.3850657,715.7229814,
2109,83,0.004738574,0.056315137,0.164019462,15.69888651,2.719968616,0.095870413,0.711788571,2.525263726,0.008093875,129.5631528,579.3395603,469.5844735,732.2621569,
2110,84,0.004468037,0.057476142,0.163763327,15.66868438,2.729387947,0.094371837,0.718876679,2.519790803,0.00758477,132.8541834,592.198969,479.5793703,749.1531725,
2111,85,0.00429503,0.058007574,0.164034762,15.60974798,2.738789158,0.092719587,0.726540104,2.514416172,0.007107688,136.233656,605.3464401,489.800459,766.3805239,
2112,86,0.004221676,0.057371841,0.165038386,15.5377496,2.748155007,0.091010881,0.734216932,2.509592904,0.006660614,139.6728954,618.800203,500.4388615,783.948214,
2113,87,0.000167714,0.05952515,0.164388335,15.4688336,2.757477657,0.089339721,0.740923482,2.505924475,0.006241662,143.0835865,632.5662629,511.9721677,801.8598541,
2114,88,0.000292771,0.060433603,0.162038,14.66151907,2.766758957,0.083887804,0.749062346,2.501906306,0.006598534,145.0218727,645.9991598,523.3850469,820.1189991,
2115,89,0.003766925,0.058496821,0.16367495,13.93567237,2.775555868,0.078903488,0.757504205,2.496079876,0.006838416,147.2160777,659.7204137,533.336053,838.7519009,
2116,90,0.000113902,0.06021679,0.163098029,13.88736778,2.783917272,0.077557335,0.763836705,2.492018777,0.00640828,150.9036366,674.4493114,545.6856282,857.7681184,
2117,91,0.003310129,0.059426091,0.161624558,13.16851418,2.792249692,0.072792795,0.771260997,2.48769436,0.006795619,153.1158815,688.844237,557.4293502,877.1520662,
2118,92,0.003100772,0.060077581,0.161522048,13.09314156,2.800150801,0.071402956,0.777595958,2.482342257,0.006368174,156.9226253,704.1527097,569.4777052,896.9311957,
2119,93,0.002956652,0.059488371,0.163261194,12.99399722,2.808006686,0.069905894,0.78412112,2.477214995,0.005967616,160.7927206,719.799541,581.388795,917.0937952,
2120,94,0.002861269,0.05885622,0.16353109,12.88276243,2.815803084,0.068367769,0.789775109,2.473899615,0.005592253,164.5981467,735.8406036,594.5158829,937.6444759,
2121,95,0.002799672,0.059610006,0.163426629,12.768197,2.823532742,0.066835994,0.794568347,2.471012596,0.0052405,168.3583009,752.2127874,607.253094,958.5861469,
2122,96,0.000209428,0.060120632,0.164779187,12.65632704,2.83119366,0.065341428,0.79972795,2.468203902,0.004910873,172.2817985,768.9871643,620.3405335,979.9241096,
2123,97,0.000253603,0.060621623,0.16434831,12.01196779,2.838787456,0.06144053,0.805026044,2.466732279,0.00531982,174.896197,785.657426,633.5253597,1001.661347,
2124,98,0.002416567,0.061917625,0.159734588,11.42481265,2.845994637,0.057828972,0.810446482,2.464973271,0.00566965,177.7182681,802.747341,648.6688679,1023.819109,
2125,99,0.002271441,0.061754051,0.160106881,11.31938107,2.852849524,0.056533441,0.816656554,2.459309959,0.005313029,182.1482415,820.6098197,662.9056255,1046.404153,
2126,100,0.002159345,0.062212239,0.16067359,11.1983086,2.859641153,0.055182569,0.822373181,2.454302907,0.00497884,186.5625362,838.8623318,676.8480748,1069.410601,
2127,101,0.000140381,0.062015862,0.161885737,11.0680621,2.866360138,0.053810307,0.828151814,2.450082174,0.004665671,191.0772262,857.5754708,691.7513497,1092.843104,
2128,102,0.001954608,0.060126195,0.163524372,10.50476228,2.873000975,0.050565831,0.83343289,2.44716137,0.005142452,194.3375744,876.2470802,706.2083242,1116.704025,
2129,103,0.001854534,0.062703377,0.159318399,10.37597133,2.879303833,0.049287012,0.836798483,2.445832256,0.004818992,198.6414568,895.8707713,723.2110406,1141.014119,
2130,104,0.001764773,0.059909942,0.16477808,10.2391183,2.885529415,0.047993231,0.842168716,2.440930008,0.004515877,203.4119395,915.8112002,737.1316377,1165.761956,
2131,105,0.001712809,0.063668146,0.159249032,10.09621979,2.891672886,0.046694982,0.844844391,2.441050037,0.004231828,207.7596479,936.3793299,755.031192,1190.955751,
2132,106,0.000277814,0.06112243,0.16415611,9.955091434,2.897730618,0.045428143,0.850573742,2.436367945,0.003965646,212.8339935,957.2801792,770.2967158,1216.592785,
2133,107,0.001580482,0.063228208,0.160188314,9.48409181,2.903703673,0.042847627,0.853802811,2.436216101,0.004382398,216.4972288,978.399803,788.2444599,1242.680988,
2134,108,0.001512906,0.061353857,0.163565955,9.351852538,2.909394128,0.04169426,0.858644469,2.432633573,0.004106746,221.6782091,1000.310033,804.5200578,1269.232862,
2135,109,0.00145996,0.061593914,0.163843108,9.216545226,2.91500524,0.040548481,0.861605591,2.432188993,0.003848431,226.5808027,1022.822995,822.0974684,1296.242985,
2136,110,0.000532565,0.063681307,0.160615536,9.081229479,2.920535167,0.03942363,0.864601326,2.43201021,0.003606365,231.6129154,1045.879382,841.8703375,1323.710034,
2137,111,0.001355892,0.061977556,0.163259952,8.725790414,2.925983905,0.037472439,0.86920883,2.429044885,0.003855627,236.4048106,1069.058474,859.2088621,1351.634773,
2138,112,0.000678943,0.064611209,0.158901155,8.598311187,2.931219379,0.036439794,0.872093939,2.428544954,0.003613108,241.7003725,1093.163248,880.3343743,1380.033559,
2139,113,0.000748194,0.064398242,0.158798234,8.311601148,2.936378366,0.034819426,0.87706356,2.424293633,0.003754412,247.0679105,1117.43719,899.9813235,1408.895629,
2140,114,0.000773084,0.061466149,0.164213107,8.061322009,2.941365326,0.03336815,0.881566074,2.420202055,0.003836394,252.5913681,1142.291041,917.3731618,1438.23589,
2141,115,0.000785585,0.065471125,0.157060923,7.833412182,2.946202119,0.032031938,0.883296063,2.421042432,0.003895162,257.6589343,1167.960973,941.0145293,1468.056116,
2142,116,0.000793375,0.063243804,0.160335626,7.623295595,2.950902167,0.03079146,0.888355055,2.415630731,0.003941178,263.7516305,1193.960562,960.7006347,1498.349088,
2143,117,0.000803149,0.063540649,0.159260117,7.428726174,2.955476144,0.029636093,0.891218871,2.41338103,0.003978662,269.5029694,1220.676831,982.8527376,1529.125195,
2144,118,0.000805484,0.062867685,0.160686261,7.24932919,2.95993338,0.028562377,0.894171637,2.410329833,0.00400672,275.4818053,1247.954811,1003.834419,1560.380774,
2145,119,0.000805272,0.063493333,0.159879237,7.082397759,2.964282977,0.027557971,0.896375807,2.40869409,0.004031324,281.4599872,1275.950453,1026.39898,1592.117643,
2146,120,0.00079092,0.060425479,0.165691002,6.926619141,2.968532416,0.026616052,0.898989654,2.40645434,0.004054535,287.7435896,1304.586172,1046.193728,1624.331734,
2147,121,0.000776986,0.064614658,0.156565407,6.777757118,2.972688387,0.025719079,0.898807192,2.409371083,0.004086665,293.4248831,1334.15429,1075.489131,1657.021566,
2148,122,0.000765581,0.065031226,0.156210746,6.635508126,2.976755042,0.024864645,0.902241773,2.404213138,0.004126863,300.3024301,1363.904519,1099.201086,1690.174465,
2149,123,0.000761375,0.064055542,0.159068524,6.500135683,2.980736347,0.02405252,0.905834711,2.39904928,0.0041728,307.4332248,1394.358498,1121.28006,1723.8053,
2150,124,0.000768808,0.0629728,0.159443533,6.373143,2.984636428,0.023286974,0.908383601,2.396670595,0.004218898,314.4702053,1425.732737,1147.223544,1757.909993,
2151,125,0.000757441,0.062632605,0.163415793,6.257197838,2.988460314,0.022576248,0.909853545,2.394756232,0.004256706,321.3991457,1457.766517,1168.253707,1792.475994,
2152,126,0.000757619,0.064506073,0.15751729,6.146697159,2.992214633,0.021898874,0.910944852,2.396390526,0.004300381,328.3993449,1490.952644,1199.951225,1827.499858,
2153,127,0.000756132,0.063820944,0.159895408,6.044469895,2.995902651,0.02126382,0.913584672,2.392821073,0.004341179,336.1032004,1524.437555,1224.487423,1862.95916,
2154,128,0.000766869,0.064749622,0.157200834,5.949651442,2.999529333,0.020666834,0.915482754,2.39152335,0.004380491,343.7898252,1558.905927,1254.416098,1898.862599,
2155,129,0.00077258,0.061475244,0.164751932,5.865286888,3.003099124,0.020117192,0.918068945,2.387964159,0.004409541,351.9464029,1593.96354,1276.542404,1935.193243,
2156,130,0.000783818,0.063820467,0.157824035,5.789514929,3.006618296,0.019607108,0.91768118,2.391146476,0.004432624,359.3195964,1630.374146,1312.102007,1971.948156,
2157,131,0.000785903,0.062387016,0.163026003,5.723535554,3.010092005,0.019139341,0.919341083,2.388150459,0.004446113,367.6283065,1667.041915,1335.983508,2009.095036,
2158,132,0.000777591,0.062244459,0.164964538,5.66431811,3.013526126,0.018702527,0.919667926,2.389832902,0.004457244,375.6888215,1705.053254,1363.707098,2046.641517,
2159,133,0.000769689,0.065142108,0.158986873,5.608538957,3.016924717,0.01828487,0.919852477,2.393089837,0.004473695,383.8986383,1744.160599,1399.600927,2084.55405,
2160,134,0.000763537,0.060571154,0.166758507,5.556120685,3.02028984,0.017885568,0.922522631,2.390988937,0.004494838,393.2553325,1783.73852,1426.282812,2122.806651,
2161,135,0.000732638,0.063535118,0.163894583,5.507393176,3.023623513,0.017505138,0.921090121,2.395723739,0.004519112,401.2743313,1824.649347,1458.795212,2161.395819,
2162,136,0.00070094,0.062993666,0.164484882,5.45468398,3.026927949,0.017118962,0.922306133,2.397715057,0.004564298,410.4929985,1866.488752,1492.118062,2200.284793,
2163,137,0.000668309,0.066004299,0.157924712,5.39773978,3.030200759,0.01672661,0.922984266,2.400099887,0.004629721,419.6914299,1909.256777,1532.124847,2239.450295,
2164,138,0.000652694,0.063111264,0.160126037,5.33626231,3.033439403,0.016327547,0.926212766,2.396666993,0.00471485,430.1412401,1952.467999,1567.800235,2278.867858,
2165,139,0.000619994,0.060366188,0.166341312,5.275610818,3.03664116,0.015938362,0.926764905,2.395344341,0.004806046,439.7256769,1996.551927,1596.987417,2318.530438,
2166,140,0.000574161,0.065513889,0.156326553,5.210193234,3.039806527,0.015542166,0.92490554,2.399467156,0.004915469,448.4579575,2042.145178,1641.972215,2358.414182,
2167,141,0.000522271,0.059526741,0.164544395,5.135741302,3.042932643,0.015126809,0.927602321,2.394682467,0.005051704,459.3488594,2088.019422,1674.54097,2398.469471,
2168,142,0.00047425,0.076094442,0.134840181,5.050329673,3.046014087,0.014687572,0.924962885,2.397295094,0.005217663,468.0239894,2135.239368,1736.544406,2438.691487,
2169,143,0.000503963,0.066211328,0.157086243,4.955352909,3.049044285,0.014229534,0.936617057,2.373761084,0.005408762,483.4761966,2181.319456,1749.933163,2479.034274,
2170,144,0.00051596,0.064107027,0.158620457,4.877256094,3.052017497,0.013828566,0.939234561,2.371142401,0.00556581,495.1930582,2230.718041,1790.453379,2519.545664,
2171,145,0.00055165,0.060446639,0.167830514,4.80936366,3.054943851,0.013464013,0.939888138,2.370006892,0.0057041,506.3057874,2281.187915,1819.726234,2560.10392,
2172,146,0.000543064,0.06116661,0.166993133,4.759442545,3.057829469,0.013156133,0.937328334,2.376879162,0.005807324,516.1786018,2333.864877,1861.970497,2600.667578,
2173,147,0.000503766,0.064383647,0.161248278,4.711455511,3.060685134,0.012859157,0.935545483,2.382634108,0.005910391,526.6538733,2387.670892,1910.101673,2641.148883,
