year,t,i_d,i_c,i_f,P_emissions,Temp,kd,kc,kf,ks,E_agg,Y_agg,C_agg,SCC,
2056,31,0.019789485,0.023791616,0.181549826,29.41277307,1.991059321,0.336531446,0.305674845,2.980147449,0.012849796,49.85897076,194.5902493,160.9772768,185.0064821,29.47111241
2057,32,0.020771116,0.02439331,0.180162976,29.66261746,2.008706985,0.333989914,0.308387738,2.963186032,0.012041543,50.86549226,198.6227628,164.2084392,189.9784021,29.76539358
2058,33,0.022487538,0.025312222,0.177922338,30.01208652,2.026504555,0.332461698,0.311453961,2.94601062,0.01128413,52.01739252,202.7687218,167.5030615,195.069684,30.18071817
2059,34,0.025478424,0.026658928,0.174136558,30.52137018,2.044511807,0.332516614,0.315118575,2.92788339,0.010574359,53.39905148,207.0392754,170.8761666,200.2815962,29.9761912
2060,35,-0.005380705,0.03065283,0.187853586,31.29474363,2.062824629,0.335127632,0.319701208,2.907499269,0.009909231,55.15159502,211.4439613,175.5344524,205.6149277,29.27351766
2061,36,-0.004738156,0.031108868,0.18493967,28.39013824,2.081601476,0.308659468,0.32730585,2.900333928,0.014860724,53.73124593,215.2099885,178.8764645,211.0698822,28.6451895
2062,37,0.02314751,0.027999848,0.169812367,26.14924974,2.098635559,0.284498148,0.33487043,2.891049923,0.018898063,52.45510781,218.9542572,181.1517108,216.6665326,28.02366553
2063,38,0.020954397,0.027736849,0.173036473,26.87044571,2.114325108,0.287867645,0.339465749,2.869040936,0.017709375,54.31323979,223.7152955,184.9099497,222.4160888,27.33865149
2064,39,0.019834044,0.027901511,0.174358524,27.41375032,2.130447376,0.28919031,0.343583898,2.851178626,0.016595455,55.94563354,228.5229311,188.7606611,228.301599,27.32618627
2065,40,0.019727002,0.028557687,0.174204687,27.86967343,2.146895626,0.289474565,0.347608176,2.835535444,0.015551601,57.48506755,233.410862,192.6632848,234.3259186,27.87193718
2066,41,0.020618709,0.029625169,0.172558234,28.32781213,2.16361743,0.289649878,0.351955157,2.820682467,0.014573405,59.06883846,238.407385,196.6661302,240.4913454,27.69145194
2067,42,-0.008886579,0.03294119,0.183319618,28.8780043,2.180614117,0.290582356,0.356948703,2.805263342,0.013656738,60.83364753,243.5309397,201.7696408,246.7995696,27.48255811
2068,43,0.018078086,0.030682871,0.170564191,25.96801955,2.19794092,0.263411623,0.364397825,2.800152243,0.021753396,58.87551246,247.6952391,204.6954886,253.2517359,27.23159163
2069,44,0.016250307,0.030747368,0.172554445,26.36928117,2.213521732,0.263681414,0.369576527,2.784197372,0.020385108,60.56689142,253.0250519,208.9904532,259.8790737,26.91732773
2070,45,0.014981122,0.031047536,0.173531227,26.61484102,2.2293433,0.262346234,0.374519467,2.770931503,0.019102884,62.05513914,258.4214529,213.371915,266.6619275,26.5068587
2071,46,0.0140378,0.031538912,0.173927708,26.7564926,2.245312205,0.259972395,0.379435898,2.759303643,0.017901313,63.42116839,263.904613,217.82994,273.6038279,26.68348218
2072,47,0.01338556,0.032114641,0.173945758,26.82565916,2.261366101,0.256902559,0.384486761,2.748707934,0.01677532,64.71684637,269.4869656,222.3647992,280.7081428,26.77655358
2073,48,0.012749813,0.032687079,0.173764309,26.85113696,2.277461496,0.253434587,0.389734777,2.7387522,0.015720153,65.98620691,275.1799793,227.0270053,287.9781926,26.81373598
2074,49,0.012354388,0.033370224,0.173446361,26.83463815,2.293572178,0.249605525,0.395166072,2.729224254,0.014731355,67.23076005,280.9829369,231.7292397,295.4172168,26.81023161
2075,50,0.011860311,0.034028766,0.173075737,26.80075301,2.309672961,0.24565219,0.400862366,2.719979629,0.013804753,68.4917133,286.9100969,236.570069,303.0286656,26.77835381
2076,51,0.011527814,0.034680706,0.172673931,26.73897077,2.325753413,0.241492803,0.406788224,2.71095562,0.012936434,69.75243003,292.9569714,241.4783152,310.8157763,26.72316748
2077,52,0.011129966,0.035342028,0.17220611,26.66627019,2.341796795,0.237285277,0.41292525,2.702112001,0.012122732,71.03765792,299.1342162,246.5197425,318.7820569,26.65107406
2078,53,0.010811397,0.03600444,0.171808728,26.57520527,2.357796558,0.232973282,0.419269376,2.693380538,0.011360212,72.337341,305.4393909,251.6273362,326.9308807,26.56452161
2079,54,0.010539828,0.036622393,0.171327175,26.47417105,2.373741681,0.22863473,0.425809918,2.68481608,0.010645655,73.66457968,311.881366,256.8652209,335.2658292,26.46793235
2080,55,0.010267198,0.037215826,0.17096084,26.36799077,2.389626183,0.224313768,0.432499106,2.676335359,0.009976043,75.02483557,318.4629567,262.1924852,343.7903838,26.36224264
2081,56,0.009995235,0.037847645,0.170500381,26.25602449,2.405446978,0.220008344,0.439308378,2.668033947,0.00934855,76.41663026,325.1889947,267.6498594,352.5080811,26.25085552
