year,t,i_d,i_c,i_f
2025.0,0.0,-0.027577877436625098,0.046751793536839316,0.20588961643617346
2026.0,1.0,-0.01022857220749359,0.0510294572411377,0.2019721538524557
2027.0,2.0,-0.007500606697879016,0.05439014998106665,0.20202869061593426
2028.0,3.0,0.017894416140738667,0.055672655594581774,0.1969411361074718
2029.0,4.0,0.014637159178619696,0.057327430273165815,0.20465704703019572
2030.0,5.0,0.012293558551284405,0.059228862091051146,0.20709598703924506
2031.0,6.0,0.015238901074490665,0.06316441502280115,0.2067646198922118
2032.0,7.0,-0.005261285200815846,0.06604913634472201,0.2135259795272766
2033.0,8.0,0.01596705688064518,0.06523400730770992,0.2062053700885063
2034.0,9.0,0.015534010409268034,0.06767969409494652,0.20739642113706405
2035.0,10.0,-0.004532783784873251,0.07023040365606367,0.21403376650446748
2036.0,11.0,0.01481352065480727,0.06836868275649954,0.2072805784121056
2037.0,12.0,0.016574233788522193,0.07018470968532259,0.20840246709307358
2038.0,13.0,-0.005428195740746164,0.07299716231973627,0.21410199379669165
2039.0,14.0,0.014396864169967003,0.06903537909592965,0.2092106993798455
2040.0,15.0,0.011824400951012354,0.06947819010520137,0.21324147040603114
2041.0,16.0,0.011282912272552419,0.06870461817314719,0.21465212313259238
2042.0,17.0,0.01098228692725438,0.06938125655857649,0.21545838877755888
2043.0,18.0,0.010417450633813562,0.06988766624785664,0.2157084213269436
2044.0,19.0,0.010246625332407087,0.07078940483251868,0.2158862831186356
2045.0,20.0,0.010110260929491495,0.07154855964817596,0.2159352397224052
2046.0,21.0,0.009803869674403552,0.07214204846971041,0.21584848027155826
2047.0,22.0,0.009517523979849347,0.07302503631962,0.21580476649100433
2048.0,23.0,0.009353132328275128,0.073533205411099,0.21563232402428045
2049.0,24.0,0.009135185745734808,0.07461189417685465,0.21562254205333053
2050.0,25.0,0.008930297016378576,0.07531886975086023,0.21547352078144433
2051.0,26.0,0.008764573604991194,0.07575088844172977,0.21514802144488362
2052.0,27.0,0.00867793773219103,0.07690845966855775,0.21498714885664172
2053.0,28.0,0.008557328737815862,0.0782151971391742,0.21451106775997417
2054.0,29.0,0.008737026853099782,0.07936369583051092,0.21314066899788733
2055.0,30.0,0.009205557829273531,0.08193950564573892,0.2105871715475852
2056.0,31.0,-0.0034874032441405936,0.0882634481765174,0.2105452180312933
2057.0,32.0,0.008744654085849023,0.0850435767365663,0.20809850594882578
2058.0,33.0,0.008351071646391029,0.0864993348399616,0.20875675573836278
2059.0,34.0,-0.0024221987927993322,0.09352407419166912,0.21103306530309937
2060.0,35.0,0.007294729792308971,0.08653590579176383,0.2091173464322211
2061.0,36.0,0.006687362853749167,0.08609234348519797,0.21169337164592678
