year,t,i_d,i_c,i_f,P_emissions,Temp,kd,kc,kf,ks,E_agg,Y_agg,C_agg,SCC,
2056,31,0.006350679,0.053348307,0.22944089,25.48007608,1.771967066,0.291963958,0.617658483,3.606910053,0.011439085,58.33217669,207.1909274,163.9532637,254.3763088,25.18085968
2057,32,0.009949706,0.055400776,0.222789137,24.76413626,1.782668698,0.279820746,0.627548279,3.594881226,0.010719566,58.68507374,211.4050917,167.3735423,260.2533868,
2058,33,0.00598632,0.055994519,0.230832029,24.41437812,1.793069635,0.271821598,0.638585416,3.577745201,0.010045306,59.55216101,215.8045013,169.976994,266.2553405,
2059,34,0.009750012,0.060116382,0.227411823,23.73616948,1.803323674,0.26058813,0.649503019,3.568644039,0.009413456,60.02197688,220.257991,172.7193642,272.383505,
2060,35,0.012469012,0.064744802,0.220854865,23.446239,1.813292865,0.253588642,0.663201438,3.557096335,0.00882135,61.12120331,224.9863878,176.2429161,278.6410188,
2061,36,0.011014654,0.065039105,0.226693636,23.43144367,1.823140286,0.249497623,0.679910182,3.540497288,0.008266487,62.73820103,229.9198212,179.2677677,285.0279052,
2062,37,0.00854458,0.064686032,0.22294566,23.30275385,1.832981492,0.244337802,0.695961401,3.529978733,0.007746525,64.22271243,234.9825808,184.2699266,291.5449378,
2063,38,0.007712436,0.059224249,0.232180809,22.96342475,1.842768648,0.237222905,0.710859227,3.516807975,0.007259268,65.41926959,240.010116,187.6066014,298.1938562,
2064,39,0.006092225,0.065353083,0.224348189,22.57276641,1.852413287,0.229772728,0.720436245,3.51245291,0.00680266,66.34141051,245.1718886,192.1270875,304.9791817,
2065,40,0.006902133,0.061753911,0.220973299,22.0518849,1.861893849,0.221262048,0.7345455,3.501538193,0.006374773,67.32218706,250.3621527,197.2472846,311.9030576,
2066,41,0.008962334,0.067567291,0.235884271,21.64803153,1.87115564,0.214042569,0.744904792,3.488319668,0.0059738,68.3191177,255.6279743,197.0587681,318.9694584,
2067,42,0.003765954,0.069404099,0.22449614,21.48265402,1.880247814,0.209175107,0.759488816,3.488837861,0.005598048,69.88203223,261.4129949,204.1848156,326.1818675,
2068,43,0.009062412,0.065275528,0.22952266,20.79901071,1.889270528,0.199727379,0.774778738,3.479440454,0.005245931,70.79169239,266.9242471,207.3129386,333.5364994,
