year,t,i_d,i_c,i_f,P_emissions,Temp,kd,kc,kf,ks,E_agg,Y_agg,C_agg,SCC,
2056,31,0.017251382,0.021901675,0.178781062,28.13581778,1.945518594,0.329847835,0.282378631,3.022344935,0.020978949,49.28263653,193.2739648,160.7340435,402.419086,28.13821689
2057,32,0.016992567,0.022240693,0.177808876,28.16945043,1.962400085,0.325450504,0.284819966,3.000445048,0.019659373,49.92708542,197.0949341,163.9439587,412.0980387,28.1712445
2058,33,0.01674144,0.022587046,0.176697568,28.20454046,1.979301755,0.321086068,0.287408778,2.978988828,0.018422799,50.58123111,200.9939338,167.2403752,421.9883413,28.20621317
2059,34,0.016490913,0.022939709,0.175658446,28.24142911,1.996224479,0.316759433,0.290142728,2.95782725,0.017264005,51.24586344,204.9710409,170.5920432,432.0939527,28.24294983
2060,35,0.016241955,0.023286317,0.174666321,28.27982807,2.013169337,0.312468864,0.293018765,2.937006418,0.016178099,51.92091972,209.0283594,174.0060263,442.4189166,28.28113268
2061,36,0.015996625,0.023642194,0.173713706,28.3195011,2.030137233,0.308213597,0.29602363,2.916547477,0.015160496,52.60616729,213.1676625,177.4817912,452.967313,28.32092181
2062,37,0.015768072,0.023992555,0.172716685,28.36036467,2.047128934,0.303994759,0.299157732,2.896463713,0.014206901,53.30201237,217.3909741,181.0352278,463.7432658,28.36253083
2063,38,0.015551367,0.02433859,0.17178874,28.40348609,2.064145153,0.299825191,0.302409055,2.876693701,0.013313287,54.01024279,221.7000036,184.6490231,474.7509367,28.40622086
2064,39,0.015339482,0.024697152,0.170830228,28.44947421,2.081187244,0.295712547,0.305767289,2.857279626,0.012475881,54.73210022,226.0976672,188.3410443,485.9945328,28.45253924
2065,40,0.015145783,0.025030356,0.169970761,28.49827821,2.098256929,0.291657725,0.309236863,2.838173417,0.011691148,55.46833761,230.5854304,192.0934789,497.4782732,28.50187871
2066,41,0.014948803,0.025351649,0.169159817,28.55109304,2.115355896,0.287673539,0.312790204,2.819443967,0.010955775,56.22067593,235.1669861,195.9195697,509.2064236,28.5544016
2067,42,0.014756572,0.025690211,0.168339854,28.60706198,2.132486552,0.283752804,0.316412598,2.801111579,0.010266657,56.98817621,239.8440837,199.8242975,521.1832371,28.61020337
2068,43,0.01457273,0.025961084,0.167677204,28.66610054,2.149650789,0.279895957,0.320114614,2.783144707,0.009620884,57.77182327,244.6187026,203.7925493,533.4130001,28.66967809
2069,44,0.014408861,0.026256176,0.166982767,28.7284831,2.166850449,0.27610667,0.323835062,2.765659995,0.009015731,58.57098587,249.4943593,207.8434463,545.9000258,28.7337686
2070,45,0.014289316,0.026503513,0.166342329,28.79565178,2.184087539,0.272398761,0.327593193,2.748600799,0.008448641,59.38930473,254.4741903,211.9718957,558.6486125,28.80333783
2071,46,0.014163793,0.026742471,0.165943659,28.8715456,2.20136493,0.268806988,0.331346861,2.731989281,0.007917222,60.23251129,259.5638108,216.1452418,571.6630478,28.88051153
2072,47,0.014103292,0.026976922,0.165301923,28.95490813,2.218687858,0.265318986,0.335089272,2.716011237,0.007419228,61.09943893,264.7680624,220.4529264,584.9475351,28.96766898
2073,48,0.014063778,0.02711591,0.165117903,29.05196902,2.236060802,0.261986579,0.338817257,2.700415444,0.006952559,62.00088868,270.0910411,224.7769592,598.5061973,29.06939522
2074,49,0.014145927,0.02727374,0.164661861,29.16427037,2.253491984,0.258819035,0.342451446,2.685581021,0.006515243,62.93798231,275.5425523,229.2369517,612.343092,29.19154406
2075,50,0.014330032,0.027384733,0.16450127,29.30428298,2.270990546,0.255914669,0.346012838,2.671223871,0.006105434,63.93283569,281.1327054,233.7336947,626.4620301,29.34650894
2076,51,0.014807109,0.027486945,0.164221413,29.48228978,2.288573116,0.253347755,0.349466034,2.657574722,0.005721402,65.00282853,286.8783601,238.3221768,640.8665439,29.55538456
2077,52,0.015744499,0.027668256,0.163516092,29.72973256,2.30626249,0.251356145,0.352809604,2.644486834,0.005361526,66.20183506,292.8101528,243.0421021,655.5596453,29.8594449
2078,53,0.01762477,0.027932599,0.16239106,30.09634709,2.324100329,0.250305975,0.356116318,2.631554042,0.005024286,67.61840346,298.9719888,247.8136736,670.5433674,30.33617553
2079,54,0.021320021,0.028535431,0.159590388,30.68457211,2.342158138,0.250946669,0.359458259,2.618399333,0.004708259,69.43186589,305.4527048,252.7459177,685.8182387,31.11920522
2080,55,0.027918314,0.029710169,0.154413778,31.68793613,2.360568881,0.254671302,0.363118494,2.603565433,0.004412109,71.98736769,312.3834441,257.7994788,701.3817467,30.30943515
2081,56,-0.027379504,0.033892919,0.158206671,33.39743822,2.379581642,0.263510333,0.367557638,2.585056882,0.004134587,75.80934618,319.8882021,265.5566927,717.2266348,29.6393266
2082,57,0.022143191,0.030206166,0.14658137,25.68088222,2.399620105,0.219555935,0.375205876,2.570981155,0.031254298,67.59720372,320.9646774,267.3766168,733.3403044,28.97649167
2083,58,0.017827282,0.030365398,0.15244394,26.74580431,2.415028635,0.225656256,0.379379828,2.547490651,0.029288402,70.77517082,328.6912151,273.3996416,749.9172746,28.18427618
2084,59,0.015270085,0.030852248,0.154945219,27.37039746,2.431076117,0.227882617,0.383451802,2.530575059,0.027446162,73.10700423,336.0419264,279.3543726,766.7915775,27.09075745
2085,60,0.013778966,0.031487307,0.155720863,27.72685867,2.447498356,0.227797926,0.387702582,2.516859926,0.025719798,74.93474805,343.2537889,285.2824971,783.9795882,27.56325313
2086,61,0.012852176,0.032203528,0.155557755,27.92984461,2.464134471,0.226418126,0.392246152,2.504635681,0.024102023,76.48567819,350.4541806,291.2572385,801.4922038,27.83472129
2087,62,0.012229424,0.03298224,0.154836663,28.0433606,2.480892378,0.224302992,0.397133478,2.49299048,0.022586006,77.88702573,357.7064421,297.3166971,819.3374783,27.98638362
2088,63,0.011768066,0.033775283,0.153881012,28.1031451,2.497718394,0.221761502,0.402396822,2.481401322,0.021165346,79.21061376,365.0440741,303.4566973,837.5221516,28.06723188
2089,64,0.011396082,0.034557629,0.152867476,28.12870911,2.514580281,0.218961307,0.408026408,2.469659451,0.019834046,80.49489688,372.4869107,309.6725232,856.0523379,28.10449096
2090,65,0.011070263,0.035311314,0.15189801,28.1311,2.531457507,0.215997089,0.413992331,2.457723126,0.018586484,81.76088715,380.0483868,315.9633301,874.9338247,28.11332778
2091,66,0.010773753,0.036069802,0.150844092,28.11613997,2.548336167,0.212919697,0.420251663,2.445642392,0.017417394,83.01860215,387.7378685,322.373553,894.1722021,28.10244095
2092,67,0.010504303,0.036838384,0.149719101,28.0875447,2.565205851,0.209762025,0.426791799,2.433351707,0.01632184,84.27521132,395.5600961,328.9030745,913.77295,28.07743092
2093,68,0.010267045,0.037587725,0.148567263,28.04871098,2.582058377,0.206553084,0.433605286,2.420801078,0.015295196,85.53774818,403.520184,335.5505496,933.741562,28.04165152
2094,69,0.01002975,0.038297905,0.147588507,28.00365895,2.598887604,0.203324833,0.440660891,2.407982215,0.014333129,86.81389397,411.6249123,342.2699162,954.083523,27.99799442
2095,70,0.009820722,0.038969733,0.146675274,27.95220302,2.615689799,0.20007837,0.447912749,2.39506274,0.013431575,88.1015892,419.8801153,349.0921494,974.8042435,27.94852472
2096,71,0.009610844,0.039636688,0.145772088,27.89785444,2.632461121,0.196840215,0.455318288,2.382106074,0.012586729,89.40722172,428.2943794,356.04235,995.909072,27.89545539
2097,72,0.009433656,0.040256184,0.144940083,27.84019621,2.649199834,0.193609093,0.462864975,2.369123222,0.011795024,90.72990117,436.8702782,363.1033547,1017.4032,27.8404129
2098,73,0.009267248,0.040828416,0.144226668,27.78336435,2.665903952,0.190414028,0.470505801,2.356178196,0.011053117,92.07757483,445.6179179,370.2728714,1039.291838,27.78565163
2099,74,0.009124905,0.041361592,0.143609487,27.72844648,2.68257397,0.187262564,0.478196492,2.343372835,0.010357876,93.4515545,454.5445465,377.5560075,1061.579968,27.7335847
2100,75,0.009016003,0.041876973,0.143009822,27.67839669,2.699211038,0.184173759,0.485901954,2.330783316,0.009706365,94.85800382,463.6601958,384.9796912,1084.272405,27.68789688
2101,76,0.008951648,0.042371822,0.142414542,27.63751975,2.715818076,0.181173947,0.49360657,2.318412217,0.009095835,96.30744451,472.975825,392.5555809,1107.373694,27.65329937
2102,77,0.008954099,0.042832683,0.141909679,27.61175711,2.732400588,0.178297816,0.501293287,2.306250444,0.008523707,97.81458802,482.505138,400.2562877,1130.888045,27.63719604
2103,78,0.009058264,0.043266321,0.141475166,27.61037684,2.748967642,0.175597826,0.508934811,2.294364893,0.007987566,99.40208666,492.2701814,408.0911133,1154.819203,27.65143551
2104,79,0.009333823,0.043722592,0.140977141,27.64792979,2.765533868,0.173154216,0.516510912,2.282800864,0.007485148,101.10643,502.3022809,416.0942256,1179.170112,27.71606291
2105,80,0.009912303,0.044269264,0.140274187,27.74959408,2.782122626,0.171103679,0.524043855,2.271483616,0.007014332,102.9933209,512.6488177,424.283932,1203.942505,27.86813963
2106,81,0.011094552,0.04502677,0.139058324,27.96065671,2.798772383,0.169688639,0.531611059,2.26021893,0.00657313,105.1826741,523.3885015,432.6815497,1229.136216,28.1809048
2107,82,0.013551604,0.046215853,0.136678773,28.37214074,2.815548777,0.169391912,0.539385784,2.248554022,0.006159681,107.9157313,534.6646628,441.3024785,1254.747866,27.67008115
2108,83,-0.00879796,0.050095559,0.140178541,29.17420269,2.832572061,0.171209114,0.547714387,2.235490702,0.005772237,111.6943744,546.7361097,452.9893585,1280.768205,27.28339392
2109,84,0.012776486,0.046475449,0.131693451,25.09381155,2.850076583,0.151630873,0.558776825,2.226266851,0.014278053,105.8859406,552.3774784,457.4068634,1307.177286,26.95590714
2110,85,0.011298494,0.046856707,0.134520127,25.81615791,2.86513287,0.153799173,0.566239684,2.210137872,0.013379963,109.7963626,565.0953861,467.0445481,1334.209412,26.63996268
2111,86,0.01100041,0.047693613,0.135209129,26.32322281,2.880622564,0.154601648,0.573602491,2.197452754,0.012538363,113.1614772,577.6576423,476.7116239,1361.648185,26.28429309
2112,87,0.011814058,0.049082132,0.134045712,26.79241844,2.896416498,0.155103304,0.581250903,2.186122696,0.0117497,116.4904207,590.4130799,486.6105155,1389.505819,26.2105894
2113,88,-0.005824674,0.052754115,0.137255839,27.39585473,2.912491949,0.156268617,0.589627748,2.174442056,0.011010644,120.2940895,603.6501346,499.2053473,1417.783186,26.08691645
2114,89,0.010370181,0.049692714,0.130284455,24.72529311,2.928929462,0.14059779,0.600574356,2.166261582,0.016313233,115.5428986,611.0117525,504.9188521,1446.470604,25.9140287
2115,90,0.009001589,0.049922805,0.132578687,25.19779317,2.943764638,0.141369913,0.608379269,2.152452547,0.015287131,119.1272644,624.6282457,515.4000126,1475.789567,25.67690625
2116,91,0.008240709,0.050506557,0.133596252,25.45878405,2.958883314,0.140919333,0.615938418,2.141475885,0.01432557,122.1236443,638.0961253,525.8387766,1505.541998,25.33823911
2117,92,0.00783796,0.051175537,0.133707167,25.60680617,2.974158584,0.139829136,0.623560944,2.132038884,0.013424492,124.8349203,651.635215,536.5556312,1535.741567,25.55091893
2118,93,0.007682204,0.051915083,0.133502122,25.70251907,2.989522668,0.138448273,0.63131453,2.123255589,0.012580091,127.4432775,665.3599432,547.39873,1566.395243,25.69272535
2119,94,0.00776479,0.052851789,0.132862344,25.78869218,3.004944179,0.137012063,0.63925078,2.114810836,0.011788804,130.081291,679.3638851,558.462455,1597.506409,25.8232736
2120,95,0.008161538,0.0540127,0.13180556,25.90682528,3.020417395,0.135734999,0.64752403,2.106304542,0.011047288,132.8895509,693.7376665,569.762647,1629.075174,26.00085354
2121,96,0.009089827,0.055507522,0.130133783,26.11152531,3.03596149,0.134883625,0.656302043,2.097375591,0.010352414,136.056127,708.602497,581.3340018,1661.09809,25.72566524
2122,97,-0.003176096,0.059119959,0.131673103,26.49470588,3.051628405,0.13489031,0.665833552,2.087510167,0.009701247,139.8991376,724.1493552,595.5551488,1693.566574,25.53680758
2123,98,0.009344106,0.05685519,0.125287096,24.32657756,3.067525229,0.123214418,0.677823266,2.079573385,0.012633434,136.2987789,734.4082609,603.45608,1726.463667,25.4262692
2124,99,0.009273065,0.057767518,0.126173117,24.84440389,3.082121175,0.124113992,0.687274412,2.066507201,0.011838791,140.7701534,750.9505083,615.7818926,1759.999081,24.91122093
2125,100,-0.002141129,0.06097935,0.128938038,25.35413338,3.097027817,0.124901801,0.696956833,2.054993362,0.011094131,145.314157,767.8202308,630.6813072,1793.961749,24.40718644
2126,101,0.008392206,0.058533866,0.124080485,23.53628395,3.112240297,0.11489392,0.708762288,2.046582258,0.013027706,142.4116434,779.2471389,639.3714154,1828.345255,
2127,102,0.007871167,0.059066694,0.125417736,23.9745334,3.126362068,0.115464094,0.717880926,2.03440995,0.012208263,146.8472564,796.6927997,652.5645611,1863.36694,
2128,103,0.007993224,0.060209414,0.125142147,24.32210594,3.140746788,0.115555016,0.726932948,2.024131521,0.011440363,151.0438671,814.2807318,666.0947194,1898.820993,
2129,104,-0.00207278,0.063341312,0.127043607,24.70046917,3.155340051,0.115745623,0.736431336,2.014218868,0.010720764,155.467268,832.3171108,681.7389131,1934.708449,
2130,105,0.007326849,0.061145862,0.12239418,22.91808116,3.170160333,0.106381674,0.748003057,2.006555038,0.012618906,152.5612789,844.884826,691.7504346,1971.018631,
2131,106,0.006822419,0.061477003,0.123778283,23.25970341,3.183911182,0.106534548,0.75710113,1.995271207,0.011825177,156.991376,863.5895586,705.9018286,2007.9742,
2132,107,0.006746292,0.062525832,0.124063545,23.50989187,3.197867004,0.106242218,0.765964507,1.985868244,0.011081373,161.1497946,882.4560205,720.0862426,2045.360944,
2133,108,0.007131085,0.063955025,0.123146865,23.75471244,3.211972939,0.105900891,0.775207176,1.97727003,0.010384355,165.4044988,901.7465573,734.9178116,2083.179123,
2134,109,-0.001413083,0.067496432,0.1236347,24.08729105,3.226225766,0.105913249,0.785125345,1.968376868,0.009731179,170.1383576,921.6916461,752.2166346,2121.418868,
2135,110,0.007357757,0.065666548,0.119311832,22.46663779,3.240678141,0.09783159,0.797434793,1.960435107,0.011131909,167.8481701,936.3428904,763.4887384,2160.060372,
2136,111,-0.001439854,0.068444514,0.121483921,22.92937491,3.254158124,0.098506276,0.807535234,1.949174268,0.010431712,173.3065926,957.5178706,781.2494623,2199.322828,
2137,112,0.006162429,0.065858211,0.118527864,21.37930324,3.267915748,0.090863027,0.819384609,1.94048354,0.011810757,171.0674192,972.6395016,793.2981318,2238.969508,
2138,113,0.00551729,0.065941657,0.120547144,21.67685948,3.28074333,0.090920769,0.828410161,1.929715117,0.01106786,175.9612667,994.1903554,809.2349544,2279.250705,
2139,114,0.005177637,0.066537105,0.120929617,21.84320207,3.293749446,0.090413537,0.836995846,1.921352735,0.010371692,180.3726904,1015.817739,825.9294089,2319.931898,
2140,115,0.005063832,0.067380099,0.120807747,21.94575507,3.306855367,0.089637033,0.845596535,1.913817975,0.009719312,184.6117741,1037.716235,842.8362562,2361.015057,
2141,116,0.005168,0.068537749,0.120403126,22.03578747,3.32002282,0.088806195,0.854419529,1.906620709,0.009107967,188.9101071,1060.064137,859.8490998,2402.495023,
2142,117,0.005548941,0.070032255,0.119418637,22.16303626,3.333244293,0.088117439,0.863716495,1.899493933,0.008535076,193.5072734,1083.049502,877.3723769,2444.359351,
2143,118,-0.001034536,0.073661893,0.118733216,22.39011301,3.346542115,0.087804476,0.873742596,1.891926712,0.00799822,198.7089242,1106.876115,897.4450624,2486.587148,
